mi_sku,subcategoria,n_variantes,tipos,imagen_compartida,estado
MED-6622,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-200_img1.jpg,imagenes_variante_duplicadas
MED-6623,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-205D0_img1.jpg,imagenes_variante_duplicadas
MED-6624,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-208D0_img1.jpg,imagenes_variante_duplicadas
MED-6625,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-210_img1.jpg,imagenes_variante_duplicadas
MED-6626,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-212P0_img1.jpg,imagenes_variante_duplicadas
MED-6627,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-2130_img1.jpg,imagenes_variante_duplicadas
MED-6628,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-21M0_img1.jpg,imagenes_variante_duplicadas
MED-6629,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-21P0_img1.jpg,imagenes_variante_duplicadas
MED-6630,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-220_img1.jpg,imagenes_variante_duplicadas
MED-6631,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-22M0_img1.jpg,imagenes_variante_duplicadas
MED-6632,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-230_img1.jpg,imagenes_variante_duplicadas
MED-6633,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-240_img1.jpg,imagenes_variante_duplicadas
MED-6634,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-260_img1.jpg,imagenes_variante_duplicadas
