mi_sku,subcategoria,tipo,sku_ref,archivo_actual,familia_duplicada
MED-6527,spo2_direct_connect_sensors,Multi-Site,S810-173D0,direct-connect-spo2-sensors/S810-173D0_img1.jpg,si
MED-6527,spo2_direct_connect_sensors,Neonate Soft,S310-173D0,direct-connect-spo2-sensors/S310-173D0_img1.jpg,si
MED-6527,spo2_direct_connect_sensors,Pediatric Clip,S110-173D0,direct-connect-spo2-sensors/S110-173D0_img1.jpg,si
MED-6527,spo2_direct_connect_sensors,Pediatric Soft,S110S-173D0,direct-connect-spo2-sensors/S110S-173D0_img1.jpg,si
MED-6528,spo2_direct_connect_sensors,Adult Clip,S410-1750,direct-connect-spo2-sensors/S410-1750_img1.jpg,si
MED-6528,spo2_direct_connect_sensors,Adult Soft,S410S-1750,direct-connect-spo2-sensors/S410S-1750_img1.jpg,si
MED-6528,spo2_direct_connect_sensors,Multi-Site,S810-1750,direct-connect-spo2-sensors/S810-1750_img1.jpg,si
MED-6528,spo2_direct_connect_sensors,Neonate Soft,S310-1750,direct-connect-spo2-sensors/S310-1750_img1.jpg,si
MED-6528,spo2_direct_connect_sensors,Pediatric Clip,S110-1750,direct-connect-spo2-sensors/S110-1750_img1.jpg,si
MED-6528,spo2_direct_connect_sensors,Pediatric Soft,S110S-1750,direct-connect-spo2-sensors/S110S-1750_img1.jpg,si
MED-6529,spo2_direct_connect_sensors,Adult Clip,S410-1790,direct-connect-spo2-sensors/S410-1790_img1.jpg,si
MED-6529,spo2_direct_connect_sensors,Adult Soft,S410S-1790,direct-connect-spo2-sensors/S410S-1790_img1.jpg,si
MED-6529,spo2_direct_connect_sensors,Multi-Site,S810-1790,direct-connect-spo2-sensors/S810-1790_img1.jpg,si
MED-6529,spo2_direct_connect_sensors,Neonate Soft,S310-1790,direct-connect-spo2-sensors/S310-1790_img1.jpg,si
MED-6529,spo2_direct_connect_sensors,Pediatric Clip,S110-1790,direct-connect-spo2-sensors/S110-1790_img1.jpg,si
MED-6529,spo2_direct_connect_sensors,Pediatric Soft,S110S-1790,direct-connect-spo2-sensors/S110S-1790_img1.jpg,si
MED-6530,spo2_direct_connect_sensors,Adult Clip,S410-17M0,direct-connect-spo2-sensors/S410-17M0_img1.jpg,si
MED-6530,spo2_direct_connect_sensors,Adult Soft,S410S-17M0,direct-connect-spo2-sensors/S410S-17M0_img1.jpg,si
MED-6530,spo2_direct_connect_sensors,Multi-Site,S810-17M0,direct-connect-spo2-sensors/S810-17M0_img1.jpg,si
MED-6530,spo2_direct_connect_sensors,Neonate Soft,S310-17M0,direct-connect-spo2-sensors/S310-17M0_img1.jpg,si
MED-6530,spo2_direct_connect_sensors,Pediatric Clip,S110-17M0,direct-connect-spo2-sensors/S110-17M0_img1.jpg,si
MED-6530,spo2_direct_connect_sensors,Pediatric Soft,S110S-17M0,direct-connect-spo2-sensors/S110S-17M0_img1.jpg,si
MED-6531,spo2_direct_connect_sensors,Adult Clip,S410-180,direct-connect-spo2-sensors/S410-180_img1.jpg,si
MED-6531,spo2_direct_connect_sensors,Adult Soft,S410S-180,direct-connect-spo2-sensors/S410S-180_img1.jpg,si
MED-6531,spo2_direct_connect_sensors,Multi-Site,S810-180,direct-connect-spo2-sensors/S810-180_img1.jpg,si
MED-6531,spo2_direct_connect_sensors,Neonate Soft,S310-180,direct-connect-spo2-sensors/S310-180_img1.jpg,si
MED-6531,spo2_direct_connect_sensors,Pediatric Clip,S110-180,direct-connect-spo2-sensors/S110-180_img1.jpg,si
MED-6531,spo2_direct_connect_sensors,Pediatric Soft,S110S-180,direct-connect-spo2-sensors/S110S-180_img1.jpg,si
MED-6532,spo2_direct_connect_sensors,Adult Clip,S410-190,direct-connect-spo2-sensors/S410-190_img1.jpg,si
MED-6532,spo2_direct_connect_sensors,Adult Soft,S410S-190,direct-connect-spo2-sensors/S410S-190_img1.jpg,si
MED-6532,spo2_direct_connect_sensors,Multi-Site,S810-190,direct-connect-spo2-sensors/S810-190_img1.jpg,si
MED-6532,spo2_direct_connect_sensors,Neonate Soft,S310-190,direct-connect-spo2-sensors/S310-190_img1.jpg,si
MED-6532,spo2_direct_connect_sensors,Pediatric Clip,S110-190,direct-connect-spo2-sensors/S110-190_img1.jpg,si
MED-6532,spo2_direct_connect_sensors,Pediatric Soft,S110S-190,direct-connect-spo2-sensors/S110S-190_img1.jpg,si
MED-6533,spo2_direct_connect_sensors,Adult Clip,S410-191P0,direct-connect-spo2-sensors/S410-191P0_img1.jpg,si
MED-6533,spo2_direct_connect_sensors,Adult Soft,S410S-191P0,direct-connect-spo2-sensors/S410S-191P0_img1.jpg,si
MED-6533,spo2_direct_connect_sensors,Multi-Site,S810-191P0,direct-connect-spo2-sensors/S810-191P0_img1.jpg,si
